Date,Open,High,Low,Close,Adj Close,Volume
5/16/2002,2.48125,2.5875,2.48125,2.575,1.733748,5286400
5/17/2002,2.59375,2.6875,2.59375,2.65375,1.78677,4351200
5/20/2002,2.65375,2.6875,2.6375,2.6725,1.799395,2336000
5/21/2002,2.825,2.83125,2.55625,2.5625,1.725331,3872000
5/22/2002,2.5575,2.6875,2.5375,2.65625,1.788454,1847200
5/23/2002,2.65625,2.8375,2.65625,2.80125,1.886082,2157600
5/24/2002,2.7925,2.9625,2.7925,2.9325,1.974452,2212000
5/28/2002,2.94375,3.03625,2.9125,3.02625,2.037574,2082400
5/29/2002,3.02625,3.02625,2.9375,2.95,1.986235,4728000
5/30/2002,2.95,2.95,2.89375,2.9075,1.95762,3941600
5/31/2002,2.9075,3.0375,2.9075,3.02375,2.035891,2708000
6/3/2002,3.02375,3.02375,2.8925,2.90625,1.956778,1817600
6/4/2002,2.90125,2.9875,2.8625,2.92875,1.971928,1933600
6/5/2002,2.9375,2.96,2.88875,2.90625,1.956778,1752000
6/6/2002,2.90625,2.95625,2.89875,2.90625,1.956778,1403200
6/7/2002,2.875,2.905,2.82,2.86875,1.931529,1752000
6/10/2002,2.86875,2.9125,2.7875,2.8125,1.893657,854400
6/11/2002,2.8275,2.84375,2.815,2.84375,1.914697,323200
6/12/2002,2.81375,2.815,2.7275,2.8,1.88524,532000
6/13/2002,2.8,2.8875,2.7625,2.87,1.932371,1297600
6/14/2002,2.8675,2.8675,2.66875,2.81375,1.894498,718400
6/17/2002,2.825,2.93125,2.825,2.8775,1.937422,936800
6/18/2002,2.8775,2.89375,2.7875,2.815,1.89534,260000
6/19/2002,2.8125,2.89375,2.8125,2.875,1.935738,905600
6/20/2002,2.8575,2.8575,2.72375,2.7375,1.843158,509600
6/21/2002,2.71875,2.71875,2.6125,2.625,1.767413,1016000
6/24/2002,2.625,2.625,2.4875,2.565,1.727015,1092800
6/25/2002,2.565,2.59875,2.4975,2.4975,1.681567,829600
6/26/2002,2.46875,2.46875,2.295,2.36875,1.59488,2882400
6/27/2002,2.3875,2.5,2.36375,2.5,1.68325,1632000
6/28/2002,2.49375,2.665,2.47875,2.62375,1.766571,3480000
7/1/2002,2.6125,2.62375,2.45625,2.4675,1.661367,1088000
7/2/2002,2.46625,2.46625,2.23375,2.345,1.578889,1637600
7/3/2002,2.3375,2.3875,2.15625,2.3125,1.557007,2226400
7/5/2002,2.325,2.4325,2.325,2.37625,1.59993,455200
7/8/2002,2.3875,2.54375,2.37125,2.47625,1.667259,1433600
7/9/2002,2.4625,2.55375,2.405,2.4375,1.641169,2162400
7/10/2002,2.4375,2.5125,2.36875,2.4,1.61592,2144000
7/11/2002,2.38125,2.38625,2.21875,2.30375,1.551115,2443200
7/12/2002,2.30375,2.30375,2.19625,2.21125,1.488835,1052800
